User ID,Kelamin,Usia,Gaji,Beli
15624510,Laki,19,19000,0
15810944,Laki,35,20000,0
15668575,Perempuan,26,43000,0
15603246,Perempuan,27,57000,0
15804002,Laki,19,76000,0
15728773,Laki,27,58000,0
15598044,Perempuan,27,84000,0
15694829,Perempuan,32,150000,1
15600575,Laki,25,33000,0
15727311,Perempuan,35,65000,0
15570769,Perempuan,26,80000,0
15606274,Perempuan,26,52000,0
15746139,Laki,20,86000,0
15704987,Laki,32,18000,0
15628972,Laki,18,82000,0
15697686,Laki,29,80000,0
15733883,Laki,47,25000,1
15617482,Laki,45,26000,1
15704583,Laki,46,28000,1
15621083,Perempuan,48,29000,1
15649487,Laki,45,22000,1
15736760,Perempuan,47,49000,1
15714658,Laki,48,41000,1
15599081,Perempuan,45,22000,1
15705113,Laki,46,23000,1
15631159,Laki,47,20000,1
15792818,Laki,49,28000,1
15633531,Perempuan,47,30000,1
15744529,Laki,29,43000,0
